"","classname","handicappedinfants","waterprojectcostsharing","adoptionofthebudgetresolution","physicianfeefreeze","elsalvadoraid","religiousgroupsinschools","antisatellitetestban","aidtonicaraguancontras","mxmissile","immigration","synfuelscorporationcutback","educationspending","superfundrighttosue","crime","dutyfreeexports","exportadministrationactsouthafrica"
"1","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","?"
"2","democrat","?","y","y","?","y","y","n","n","n","n","y","n","y","y","n","n"
"5","democrat","n","y","y","n","y","y","n","n","n","n","n","n","y","y","y","y"
"6","democrat","n","y","n","y","y","y","n","n","n","n","n","n","?","y","y","y"
"7","republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","?","y"
"8","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"9","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","?","?"
"11","republican","n","y","n","y","y","y","n","n","n","n","y","?","y","y","?","?"
"12","democrat","n","y","y","n","n","n","y","y","y","n","n","n","y","n","?","?"
"13","democrat","y","y","y","n","n","y","y","y","?","y","y","?","n","n","y","?"
"16","democrat","y","n","y","n","n","y","n","y","?","y","y","y","?","n","n","y"
"18","republican","n","y","n","y","y","y","n","n","n","n","n","?","y","y","n","n"
"19","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"20","democrat","y","y","y","n","n","?","y","y","n","n","y","n","n","n","y","y"
"22","democrat","y","?","y","n","n","n","y","y","y","n","n","?","n","n","y","y"
"24","democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","?"
"25","democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"27","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"29","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"30","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"31","democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","?"
"33","republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"34","democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"36","republican","y","?","n","y","y","y","n","n","n","y","n","y","?","y","n","y"
"37","republican","y","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
